County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Bamberg,62,14275,,0.43%,,Black Hawk County,132408,,,Brantley,8,18897
San Benito,267,61537,,0.43%,,Blackford County,11930,,,Braxton,16,14089
Hendricks,723,167009,,0.43%,,Bladen County,33190,,,Brazoria,175,370200
Wyandotte,715,165324,,0.43%,,Blaine County,39369,,,Brazos,8,226758
Coos,414,95978,,0.43%,,Blair County,122492,,,Bremer,1,24947
Charleston,1749,405905,,0.43%,,Blanco County,11702,,,Brevard,857,596849
Colusa,93,21627,,0.43%,,Bland County,6293,,,Bristol,492,612671
Chesterfield,1680,394310,,0.43%,,Bleckley County,12838,,,Bronx,2519,1432132
Nevada,460,108022,,0.43%,,Bledsoe County,14755,,,Brooke,1,22203
Frederick,1457,344003,,0.42%,,Blount County,189189,,,Brooks,12,22627
Churchill,103,24440,,0.42%,,Blue Earth County,67427,,,Broome,113,191659
Dakota,1872,445506,,0.42%,,Boise County,7634,,,Broomfield,203,69267
Plumas,79,18804,,0.42%,,Bolivar County,31333,,,Broward,5332,1951260
Sumter,1148,277690,,0.41%,,Bollinger County,12169,,,Brown,256,443692
Providence,2617,636084,,0.41%,,Bon Homme County,6980,,,Brunswick,114,153128
Daggett,4,980,,0.41%,,Bond County,16630,,,Bryan,40,85301
Santa Clara,7893,1937570,,0.41%,,Bonner County,44727,,,Buchanan,41,130991
Tooele,284,69907,,0.41%,,Bonneville County,116854,,,Buckingham,25,16999
Roanoke City,402,99920,,0.40%,,Boone County,523130,,,Bucks,540,628195
Colonial Heights,71,17833,,0.40%,,Borden County,648,,,Buena Vista,5,6237
Pinellas,3877,975280,,0.40%,,Bosque County,18691,,,Buffalo,14,64776
Amador,155,39383,,0.39%,,Bossier Parish,127185,,,Bullitt,40,81069
Miami-Dade,10809,2761581,,0.39%,,Botetourt County,33277,,,Bulloch,37,77296
Wichita,525,134169,,0.39%,,Bottineau County,6411,,,Bullock,3,10138
Monroe,6066,1556400,,0.39%,,Boulder County,326078,,,Buncombe,342,259103
Dutchess,1136,293718,,0.39%,,Boundary County,11948,,,Bureau,21,32993
El Paso,5996,1554614,,0.39%,,Bourbon County,34837,,,Burke,85,114905
Covington,21,5460,,0.38%,,Bowie County,94324,,,Burleigh,1,95273
Rockland,1244,325695,,0.38%,,Bowman County,3076,,,Burlington,809,445384
Forrest,286,75036,,0.38%,,Box Butte County,10772,,,Burnet,18,47542
Wheeler,58,15241,,0.38%,,Box Elder County,54950,,,Burnett,2,15392
Freeborn,115,30444,,0.38%,,Boyd County,49195,,,Burt,2,6488
Orange,19774,5263295,,0.38%,,Boyle County,30100,,,Butler,426,734719
San Bernardino,8125,2171603,,0.37%,,Bracken County,8239,,,Butte,431,244089
Clearfield,294,79388,,0.37%,,Bradford County,88565,,,Butts,108,24193
Mendocino,321,87606,,0.37%,,Bradley County,117624,,,Cabarrus,274,211342
Yolo,803,220408,,0.36%,,Branch County,43622,,,Cabell,57,93224
Elko,190,52460,,0.36%,,Brantley County,18897,,,Cache,15,127068
Beaufort,853,235794,,0.36%,,Braxton County,14089,,,Caddo,1440,28977
Bexar,7184,1986049,,0.36%,,Brazoria County,370200,,,Calaveras,223,45602
Caroline,231,64076,,0.36%,,Brazos County,226758,,,Calcasieu,295,203112
Saratoga,828,230163,,0.36%,,Breathitt County,12726,,,Caldwell,27,147099
Weber,922,256359,,0.36%,,Breckinridge County,20388,,,Caledonia,3,30302
Allendale,32,8903,,0.36%,,Bremer County,24947,,,Calhoun,507,347252
Santa Cruz,1148,320766,,0.36%,,Brevard County,596849,,,Callahan,12,13994
Maricopa,15732,4410824,,0.36%,,Brewster County,9267,,,Callaway,11,44889
Kent,3619,1016306,,0.36%,,Briscoe County,1516,,,Calumet,5,50159
Hanover,381,107239,,0.36%,,Bristol Bay Borough,877,,,Calvert,24,92003
Stafford,546,154138,,0.35%,,Bristol city,16482,,,Camas,1,1127
Escambia,1222,352282,,0.35%,,Bristol County,612671,,,Cambria,56,131730
San Joaquin,2593,752660,,0.34%,,Broadwater County,6085,,,Camden,1520,617280
Kimble,15,4362,,0.34%,,Bronx County,1432132,,,Cameron,29,428400
El Dorado,648,190678,,0.34%,,Brooke County,22203,,,Campbell,340,235225
Montgomery,12873,3788798,,0.34%,,Brookings County,35232,,,Canadian,734,144447
Glenn,94,28047,,0.34%,,Brooks County,22627,,,Candler,17,10836
Washoe,1556,465735,,0.33%,,Broome County,191659,,,Cannon,2,14462
Trinity,91,27275,,0.33%,,Broomfield County,69267,,,Canyon,43,223499
Hampton,447,134313,,0.33%,,Broward County,1951260,,,Cape Girardeau,14,78753
Jefferson,10707,3229512,,0.33%,,Brown County,443692,,,Cape May,114,92560
Albemarle,360,108718,,0.33%,,Brule County,5229,,,Carbon,198,110181
Nottoway,51,15420,,0.33%,,Brunswick County,153128,,,Caribou,4,7060
Monterey,1427,435594,,0.33%,,Bryan County,85301,,,Carlton,46,35837
Madera,516,157672,,0.33%,,Buchanan County,130991,,,Caroline,231,64076
Placer,1285,393149,,0.33%,,Buckingham County,16999,,,Carroll,389,532273
Davis,1179,360730,,0.33%,,Bucks County,628195,,,Carson City,175,55414
Gilpin,20,6121,,0.33%,,Buena Vista city,6237,,,Carter,16,138824
Hernando,623,190865,,0.33%,,Buena Vista County,19874,,,Carteret,1,69524
DeKalb,3290,1008080,,0.33%,,Buffalo County,64776,,,Carver,124,103551
Crook,101,31317,,0.32%,,Bullitt County,81069,,,Cascade,6,81643
San Luis Obispo,906,284010,,0.32%,,Bulloch County,77296,,,Cass,171,487065
Skamania,38,11924,,0.32%,,Bullock County,10138,,,Cassia,9,23864
Lancaster,3079,966992,,0.32%,,Buncombe County,259103,,,Caswell,7,22698
Carson City,175,55414,,0.32%,,Bureau County,32993,,,Catawba,124,158652
Quay,26,8253,,0.32%,,Burke County,114905,,,Catoosa,54,67420
Dooly,43,13706,,0.31%,,Burleigh County,95273,,,Catron,4,3578
Yuba,244,78041,,0.31%,,Burleson County,18389,,,Cattaraugus,13,76840
Clackamas,1285,416075,,0.31%,,Burlington County,445384,,,Cayuga,93,77145
Manatee,1218,394855,,0.31%,,Burnet County,47542,,,Cecil,180,102826
Belknap,186,61022,,0.30%,,Burnett County,15392,,,Cedar,24,41238
Charles City,21,6941,,0.30%,,Burt County,6488,,,Centre,334,162805
Wayne,7121,2375408,,0.30%,,Butler County,734719,,,Cerro Gordo,9,42647
Merrimack,452,151132,,0.30%,,Butte County,244089,,,Chaffee,13,20027
Alexandria,477,160530,,0.30%,,Butts County,24193,,,Chambers,22,76069
Osceola,1175,397371,,0.30%,,Cabarrus County,211342,,,Champaign,35,248737
Sierra,41,13955,,0.29%,,Cabell County,93224,,,Charles,75,6941
Fairfax County,3375,1150795,,0.29%,,Cache County,127068,,,Charles City,21,6941
Broomfield,203,69267,,0.29%,,Caddo County,28977,,,Charleston,1749,405905
Kane,1584,541925,,0.29%,,Caddo Parish,242922,,,Charlevoix,5,26244
Snohomish,2380,814901,,0.29%,,Calaveras County,45602,,,Charlotte,259,196936
Amelia,38,13013,,0.29%,,Calcasieu Parish,203112,,,Charlottesville,18,48117
Hamilton,4592,1573286,,0.29%,,Caldwell County,147099,,,Charlottesville City,1,48117
Jackson,5050,1748022,,0.29%,,Caldwell Parish,9960,,,Charlton,5,12968
Shelby,3903,1357996,,0.29%,,Caledonia County,30302,,,Chase,1,6606
Riverside,7037,2450758,,0.29%,,Calhoun County,347252,,,Chatham,545,362334
Loudoun,1159,406850,,0.28%,,Callahan County,13994,,,Chattahoochee,3,10684
Tehama,182,63916,,0.28%,,Callaway County,44889,,,Chattooga,16,24790
Inyo,51,17987,,0.28%,,Calloway County,39135,,,Chautauqua,172,131248
Blount,534,189189,,0.28%,,Calumet County,50159,,,Chaves,5,64689
