County1,Count,Population,,#VALUE!,,county,population,,,county2,acc2,pop2
Calvert,24,92003,,0.03%,,Matanuska-Susitna Borough,107610,,,Philadelphia,1658,1584138
Desha,3,11512,,0.03%,,Mathews County,8802,,,Phillips,6,31706
Fisher,1,3839,,0.03%,,Maui County,167207,,,Piatt,4,16396
Winkler,2,7720,,0.03%,,Maury County,94340,,,Pickaway,55,58086
Lea,18,69611,,0.03%,,Maverick County,58485,,,Pickens,962,176855
Henderson,72,279194,,0.03%,,Mayes County,41107,,,Pickett,1,5082
Power,2,7768,,0.03%,,McClain County,39985,,,Pierce,2272,964466
Wabash,11,42829,,0.03%,,McCone County,1675,,,Pike,124,291135
Raleigh,19,74254,,0.03%,,McCook County,5546,,,Pima,4887,1039073
Montague,5,19596,,0.03%,,McCormick County,9410,,,Pinal,541,447138
Stone,16,62923,,0.03%,,McCracken County,65346,,,Pine,59,29483
St. Landry,21,82764,,0.03%,,McCreary County,17408,,,Pinellas,3877,975280
Angelina,22,87092,,0.03%,,McCulloch County,7987,,,Pipestone,3,9047
Telfair,4,15876,,0.03%,,McCurtain County,32703,,,Pitkin,6,17950
Scotland,10,39776,,0.03%,,McDonald County,23078,,,Pitt,12,179914
Boundary,3,11948,,0.03%,,McDonough County,29955,,,Pittsburg,1,43877
Rock Island,36,143477,,0.03%,,McDowell County,63730,,,Pittsylvania,84,60949
Neosho,4,15951,,0.03%,,McDuffie County,21531,,,Piute,9,1445
Mesa,38,153207,,0.02%,,McHenry County,314386,,,Placer,1285,393149
Russell,27,109257,,0.02%,,McIntosh County,36740,,,Platte,171,144914
Prowers,3,12164,,0.02%,,McKean County,40968,,,Plumas,79,18804
Tioga,22,89323,,0.02%,,McKenzie County,13632,,,Plymouth,631,543227
Bonner,11,44727,,0.02%,,McKinley County,72290,,,Pocahontas,3,15154
Claiborne,10,40758,,0.02%,,McLean County,191621,,,Poinsett,4,23974
Bates,4,16320,,0.02%,,McLennan County,254607,,,Pointe Coupee,8,21940
Callaway,11,44889,,0.02%,,McLeod County,35873,,,Polk,2214,1543112
Hutchinson,7,28578,,0.02%,,McMinn County,53285,,,Pontotoc,1,70080
Teton,10,40883,,0.02%,,McMullen County,749,,,Pope,9,79309
Piatt,4,16396,,0.02%,,McNairy County,25832,,,Portage,94,233869
Etowah,25,102501,,0.02%,,McPherson County,31436,,,Porter,62,169594
Walker,50,205601,,0.02%,,Meade County,61155,,,Portsmouth,186,94632
Juniata,6,24704,,0.02%,,Meagher County,1866,,,Portsmouth City,1,94632
Mitchell,15,62056,,0.02%,,Mecklenburg County,1124551,,,Posey,5,25540
Androscoggin,26,107679,,0.02%,,Mecosta County,43545,,,Pottawatomie,55,96956
Baraga,2,8320,,0.02%,,Medina County,230067,,,Pottawattamie,208,93533
Manitowoc,19,79074,,0.02%,,Meeker County,23141,,,Potter,16,138477
Manassas,10,41641,,0.02%,,Meigs County,35412,,,Powell,3,19410
Minidoka,5,20825,,0.02%,,Mellette County,2042,,,Power,2,7768
Rockcastle,4,16750,,0.02%,,Menard County,14427,,,Poweshiek,21,18699
Ogemaw,5,20952,,0.02%,,Mendocino County,87606,,,Powhatan,78,29189
Mississippi,13,54575,,0.02%,,Menifee County,6451,,,Prairie,14,9161
Lauderdale,46,193529,,0.02%,,Menominee County,27641,,,Preble,42,40997
Kiowa,3,12628,,0.02%,,Merced County,274765,,,Prentiss,2,25315
Grenada,5,21055,,0.02%,,Mercer County,629867,,,Presque Isle,4,12738
Muscogee,46,194160,,0.02%,,Meriwether County,21068,,,Preston,3,33839
Tama,4,16904,,0.02%,,Merrick County,7733,,,Price,2,13397
Williams,17,72154,,0.02%,,Merrimack County,151132,,,Prince Edward,20,22950
Wise,25,106317,,0.02%,,Mesa County,153207,,,Prince George,77,38082
Dubois,10,42565,,0.02%,,Metcalfe County,10030,,,Prince George's,1712,909308
Concho,1,4276,,0.02%,,Miami County,175469,,,Prince Georges,44,#N/A
Vernon,12,51313,,0.02%,,Miami-Dade County,2761581,,,Prince William,1021,468011
Hamblen,15,64569,,0.02%,,Middlesex County,2617850,,,Providence,2617,636084
Pendleton,5,21526,,0.02%,,Midland County,255787,,,Prowers,3,12164
Lenoir,13,55976,,0.02%,,Mifflin County,46222,,,Pueblo,144,167529
Van Zandt,13,56019,,0.02%,,Milam County,25131,,,Pulaski,229,572384
Monona,2,8679,,0.02%,,Millard County,13006,,,Putnam,997,412445
Alexander,10,43413,,0.02%,,Mille Lacs County,26139,,,Quay,26,8253
Tyler,7,30442,,0.02%,,Miller County,74614,,,Queen Anne's,136,50251
Leelanau,5,21764,,0.02%,,Mills County,19984,,,Queen Annes,4,#N/A
Wyandot,5,21935,,0.02%,,Milwaukee County,948201,,,Queens,3527,2278906
Miller,17,74614,,0.02%,,Miner County,2213,,,Rabun,7,16867
Moffat,3,13188,,0.02%,,Mineral County,36546,,,Racine,162,196584
Wapello,8,35205,,0.02%,,Mingo County,23785,,,Radford,1,18339
Midland,58,255787,,0.02%,,Minidoka County,20825,,,Rains,1,12159
Allen,115,511580,,0.02%,,Minnehaha County,192876,,,Raleigh,19,74254
Crockett,4,17827,,0.02%,,Missaukee County,15113,,,Ralls,3,10212
Hampshire,41,184702,,0.02%,,Mississippi County,54575,,,Ramsey,4053,561691
Logan,51,229931,,0.02%,,Missoula County,118791,,,Randall,2,136271
Currituck,6,27072,,0.02%,,Mitchell County,62056,,,Randolph,60,301400
Houghton,8,36219,,0.02%,,Mobile County,413757,,,Rankin,185,153902
Huntington,8,36240,,0.02%,,Modoc County,8777,,,Rapides,36,130562
Sampson,14,63626,,0.02%,,Moffat County,13188,,,Rappahannock,7,7252
Kendall,38,173556,,0.02%,,Mohave County,209550,,,Ravalli,2,43172
Marshall,80,366012,,0.02%,,Moniteau County,16121,,,Red River,2,12175
Eastland,4,18322,,0.02%,,Monmouth County,621354,,,Redwood,15,15249
Archuleta,3,13765,,0.02%,,Mono County,14250,,,Reeves,22,15695
Buffalo,14,64776,,0.02%,,Monona County,8679,,,Rensselaer,411,159442
Eddy,13,60213,,0.02%,,Monongalia County,106420,,,Renville,14,16986
Musselshell,1,4651,,0.02%,,Monroe County,1556400,,,Rhea,10,33044
Indiana,18,84501,,0.02%,,Montague County,19596,,,Rice,107,76054
Lumpkin,7,32955,,0.02%,,Montcalm County,63968,,,Rich,3,2464
Titus,7,33033,,0.02%,,Monterey County,435594,,,Richland,6799,595967
Cerro Gordo,9,42647,,0.02%,,Montezuma County,26158,,,Richmond,3440,228783
Chenango,10,47536,,0.02%,,Montgomery County,3788798,,,Richmond City,4220,228783
Tipton,16,76709,,0.02%,,Montmorency County,9265,,,Richmond County,7,731658
Oxford,12,57618,,0.02%,,Montour County,18240,,,Rio Arriba,1,39006
East Feliciana,4,19305,,0.02%,,Montrose County,42214,,,Rio Blanco,15,6336
Bonneville,24,116854,,0.02%,,Moody County,6579,,,Rio Grande,3,11250
Ashtabula,20,97493,,0.02%,,Moore County,126578,,,Ripley,15,41924
Trigg,3,14643,,0.02%,,Mora County,4506,,,Ritchie,6,9721
Jessamine,11,53920,,0.02%,,Morehouse Parish,25398,,,Riverside,7037,2450758
Dickey,1,4903,,0.02%,,Morgan County,370310,,,Roane,75,67072
Black Hawk,27,132408,,0.02%,,Morrill County,4686,,,Roanoke,4,99920
Custer,14,69422,,0.02%,,Morris County,512088,,,Roanoke City,402,99920
Staunton,5,24922,,0.02%,,Morrison County,33169,,,Roanoke County,194,94073
Santa Fe,30,150056,,0.02%,,Morrow County,46484,,,Robertson,74,90431
Iosco,5,25081,,0.02%,,Morton County,33762,,,Robeson,70,131831
Randolph,60,301400,,0.02%,,Motley County,1234,,,Rock,135,173903
Simpson,9,45287,,0.02%,,Moultrie County,14717,,,Rock Island,36,143477
Thayer,1,5039,,0.02%,,Mountrail County,10218,,,Rockbridge,161,22752
Pocahontas,3,15154,,0.02%,,Mower County,40011,,,Rockcastle,4,16750
Gooding,3,15196,,0.02%,,Muhlenberg County,30774,,,Rockdale,79,90594
Cooke,8,40574,,0.02%,,Multnomah County,811880,,,Rockingham,789,481110
Pickett,1,5082,,0.02%,,Murray County,62150,,,Rockland,1244,325695
Posey,5,25540,,0.02%,,Muscatine County,42929,,,Rockwall,158,100657
Nowata,2,10218,,0.02%,,Muscogee County,194160,,,Rogers,83,91984
Vermilion,15,76806,,0.02%,,Muskegon County,173588,,,Roscommon,4,23884
Tompkins,20,102793,,0.02%,,Muskingum County,86183,,,Roseau,4,15150
Bell,74,382211,,0.02%,,Muskogee County,68362,,,Rosebud,9,9063
Canyon,43,223499,,0.02%,,Musselshell County,4651,,,Ross,27,76931
Mahoning,44,229642,,0.02%,,Nacogdoches County,65711,,,Routt,7,25733
Ada,90,469966,,0.02%,,Nance County,3532,,,Rowan,179,165845
Charlevoix,5,26244,,0.02%,,Nantucket County,11327,,,Runnels,1,10234
Phillips,6,31706,,0.02%,,Napa County,139417,,,Rush,15,19756
Sabine,2,10589,,0.02%,,Nash County,94016,,,Rusk,8,68597
Otoe,3,15985,,0.02%,,Nassau County,1444175,,,Russell,27,109257
Switzerland,2,10717,,0.02%,,Natchitoches Parish,38659,,,Rutherford,240,391716
Oswego,22,117898,,0.02%,,Natrona County,79115,,,Rutland,7,58672
Gillespie,5,26804,,0.02%,,Navajo County,110445,,,Sabine,2,10589
Tippecanoe,36,193048,,0.02%,,Navarro County,49565,,,Sac,1,9719
Stark,76,407998,,0.02%,,Nelson County,63556,,,Sacramento,7148,1540975
Gage,4,21493,,0.02%,,Nemaha County,17113,,,Sagadahoc,26,35634
Saline,44,236973,,0.02%,,Neosho County,15951,,,Saginaw,151,190800
Sangamon,36,195348,,0.02%,,Neshoba County,29125,,,Saguache,2,6843
Hempstead,4,21741,,0.02%,,Ness County,2840,,,Saint Charles,9,#N/A
Caldwell,27,147099,,0.02%,,Nevada County,108022,,,Saint Clair,6,#N/A
Jersey,4,21847,,0.02%,,New Castle County,559335,,,Saint Johns,8,#N/A
Peoria,33,180621,,0.02%,,New Hanover County,232274,,,Saint Joseph,3,#N/A
Vilas,4,21938,,0.02%,,New Haven County,857620,,,Saint Landry,1,#N/A
Overton,4,22068,,0.02%,,New Kent County,22391,,,Saint Louis,49,#N/A
Smith,48,269768,,0.02%,,New London County,266784,,,Saint Louis City,5,#N/A
Cape Girardeau,14,78753,,0.02%,,New Madrid County,17296,,,Saint Lucie,5,#N/A
Hawkins,10,56530,,0.02%,,New York County,1628701,,,Saint Tammany,5,#N/A
Valley,4,22668,,0.02%,,Newaygo County,48892,,,Salem,140,25643
Cotton,1,5776,,0.02%,,Newberry County,38520,,,Saline,44,236973
Ector,28,162124,,0.02%,,Newport County,82542,,,Salt Lake,5036,1152633
Whitley,12,70316,,0.02%,,Newport News city,178626,,,Saluda,150,20544
Andrew,3,17607,,0.02%,,Newton County,224812,,,Sampson,14,63626
Thomas,9,52879,,0.02%,,Nez Perce County,40408,,,San Benito,267,61537
Taylor,40,236316,,0.02%,,Niagara County,210433,,,San Bernardino,8125,2171603
Cattaraugus,13,76840,,0.02%,,Nicholas County,32008,,,San Diego,7839,3343364
Sanders,2,11844,,0.02%,,Nicollet County,34220,,,San Francisco,1989,883305
Kalkaska,3,17824,,0.02%,,Niobrara County,2388,,,San Jacinto,2,28719
Roscommon,4,23884,,0.02%,,Noble County,73175,,,San Joaquin,2593,752660
Poinsett,4,23974,,0.02%,,Nobles County,21924,,,San Juan,56,158382
Green,8,47978,,0.02%,,Nodaway County,22304,,,San Luis Obispo,906,284010
Austin,5,29989,,0.02%,,Nolan County,14751,,,San Mateo,3553,769545
Delta,12,72159,,0.02%,,Nome Census Area,10008,,,San Miguel,14,35782
Stephens,13,78733,,0.02%,,Norfolk city,244076,,,San Patricio,4,66893
Barry,16,97043,,0.02%,,Norfolk County,705388,,,Sanders,2,11844
Hoke,9,54764,,0.02%,,Norman County,6475,,,Sandoval,23,145179
Red River,2,12175,,0.02%,,North Slope Borough,9872,,,Sandusky,26,58799
Chittenden,27,164572,,0.02%,,Northampton County,336218,,,Sangamon,36,195348
Drew,3,18328,,0.02%,,Northumberland County,103230,,,Sanpete,58,30623
Hughes,5,30985,,0.02%,,Northwest Arctic Borough,7671,,,Santa Barbara,1049,446527
Stanly,10,62075,,0.02%,,Norton city,3968,,,Santa Clara,7893,1937570
Dyer,6,37320,,0.02%,,Norton County,5430,,,Santa Cruz,1148,320766
Grayson,28,175943,,0.02%,,Nottoway County,15420,,,Santa Fe,30,150056
Sandoval,23,145179,,0.02%,,Nowata County,10218,,,Santa Rosa,408,179349
Long,3,18998,,0.02%,,Noxubee County,10535,,,Sarasota,978,426718
Gladwin,4,25337,,0.02%,,Nuckolls County,4195,,,Saratoga,828,230163
Wilbarger,2,12820,,0.02%,,Nueces County,362265,,,Sarpy,1024,184459
Galax,1,6423,,0.02%,,Nye County,45346,,,Sauk,24,64249
Galax City,1,6423,,0.02%,,O'Brien County,13840,,,Saunders,1,21303
Powell,3,19410,,0.02%,,Oakland County,1259201,,,Schenectady,264,155350
Wilcox,3,19439,,0.02%,,Obion County,30267,,,Schley,2,5236
Spink,1,6495,,0.02%,,Ocean County,601651,,,Schoharie,54,31097
Garza,1,6578,,0.02%,,Oceana County,26625,,,Schoolcraft,4,8068
Bingham,7,46236,,0.02%,,Ochiltree County,9947,,,Schuyler,2,29418
Chase,1,6606,,0.02%,,Oconee County,117646,,,Schuylkill,77,142067
Wexford,5,33466,,0.01%,,Oconto County,37830,,,Scioto,5,75502
Price,2,13397,,0.01%,,Ogemaw County,20952,,,Scotland,10,39776
Bannock,13,87138,,0.01%,,Oglala Lakota County,14309,,,Scott,504,531033
Hot Spring,5,33701,,0.01%,,Ogle County,50923,,,Scotts Bluff,2,35989
Morton,5,33762,,0.01%,,Oglethorpe County,15054,,,Screven,5,13938
St. Lawrence,16,108047,,0.01%,,Ohio County,71686,,,Scurry,1,16866
Jim Wells,6,40822,,0.01%,,Okaloosa County,207269,,,Searcy,4,7958
Huron,13,89670,,0.01%,,Okanogan County,42132,,,Sebastian,4,127753
Allamakee,2,13832,,0.01%,,Okeechobee County,41537,,,Sedgwick,52,515910
Atoka,2,13838,,0.01%,,Okfuskee County,12098,,,Seminole,964,500725
O'Brien,2,13840,,0.01%,,Oklahoma County,792582,,,Seneca,60,89507
Winchester,4,28108,,0.01%,,Okmulgee County,38335,,,Sequatchie,6,14876
Alpena,4,28360,,0.01%,,Oktibbeha County,49599,,,Sequoyah,5,41179
Grand Isle,1,7090,,0.01%,,Oldham County,68601,,,Sevier,191,136570
Grimes,4,28360,,0.01%,,Oliver County,1952,,,Seward,14,39098
McLean,27,191621,,0.01%,,Olmsted County,156277,,,Shasta,376,180040
Champaign,35,248737,,0.01%,,Oneida County,269535,,,Shawano,23,40796
Montcalm,9,63968,,0.01%,,Onondaga County,461809,,,Shawnee,24,177499
Whitman,7,49791,,0.01%,,Onslow County,197683,,,Sheboygan,65,115456
Atchison,3,21364,,0.01%,,Ontario County,109864,,,Shelby,3903,1357996
Cannon,2,14462,,0.01%,,Ontonagon County,5795,,,Shenandoah,232,43497
Walthall,2,14465,,0.01%,,Orange County,5263295,,,Sherburne,134,96036
Branch,6,43622,,0.01%,,Orangeburg County,86934,,,Sheridan,2,42729
Chickasaw,4,29135,,0.01%,,Oregon County,10541,,,Sherman,136,13724
Childress,1,7291,,0.01%,,Orleans County,67519,,,Shiawassee,74,68192
Kay,6,44161,,0.01%,,Orleans Parish,391006,,,Shoshone,13,12796
Adair,10,73699,,0.01%,,Osage County,76669,,,Sibley,28,15028
Bledsoe,2,14755,,0.01%,,Osborne County,3475,,,Sierra,41,13955
Falls Church City,2,14772,,0.01%,,Osceola County,397371,,,Silver Bow,3,34993
Shawnee,24,177499,,0.01%,,Oscoda County,8276,,,Simpson,9,45287
Gallatin,17,125766,,0.01%,,Oswego County,117898,,,Sioux,5,40454
Edgecombe,7,52005,,0.01%,,Otero County,85213,,,Siskiyou,70,43724
Hardin,33,245597,,0.01%,,Otoe County,15985,,,Skagit,268,128206
Kossuth,2,14908,,0.01%,,Otsego County,84414,,,Skamania,38,11924
Lenawee,13,98266,,0.01%,,Ottawa County,368240,,,Slope,1,763
Elkhart,27,205560,,0.01%,,Otter Tail County,58812,,,Smith,48,269768
Tuscarawas,12,92176,,0.01%,,Ouachita County,23606,,,Smyth,58,30472
Doniphan,1,7682,,0.01%,,Ouachita Parish,154475,,,Snohomish,2380,814901
Burnett,2,15392,,0.01%,,Ouray County,4833,,,Snyder,12,40540
West Feliciana,2,15460,,0.01%,,Outagamie County,187365,,,Socorro,6,16735
Antrim,3,23365,,0.01%,,Overton County,22068,,,Solano,2323,446610
Hertford,3,23659,,0.01%,,Owen County,31725,,,Somerset,516,481383
Waldo,5,39694,,0.01%,,Owsley County,4472,,,Somervell,1,9016
Nicholas,4,32008,,0.01%,,Owyhee County,11693,,,Sonoma,2409,499942
Yellowstone,20,160137,,0.01%,,Oxford County,57618,,,Southampton,27,17586
Dubuque,12,96854,,0.01%,,Ozark County,9017,,,Spalding,59,66100
Nez Perce,5,40408,,0.01%,,Ozaukee County,89147,,,Spartanburg,5423,313888
Sioux,5,40454,,0.01%,,Pacific County,22036,,,Spencer,15,39121
Newaygo,6,48892,,0.01%,,Page County,39182,,,Spink,1,6495
Boyd,6,49195,,0.01%,,Palm Beach County,1485941,,,Spokane,524,514631
Conejos,1,8200,,0.01%,,Palo Alto County,8929,,,Spotsylvania,189,134238
Lynchburg City,10,82126,,0.01%,,Palo Pinto County,28875,,,St Joseph,1,#N/A
Sequoyah,5,41179,,0.01%,,Pamlico County,12670,,,St. Charles,588,399182
Barbour,5,41416,,0.01%,,Panola County,57326,,,St. Clair,335,518481
Paulding,22,182804,,0.01%,,Park County,64616,,,St. Croix,65,89694
Rutland,7,58672,,0.01%,,Parke County,16927,,,St. Francis,39,25439
Daviess,17,142564,,0.01%,,Parker County,138371,,,St. Francois,5,66692
Ben Hill,2,16787,,0.01%,,Parmer County,9864,,,St. Helena,1,10262
Duplin,7,58856,,0.01%,,Pasco County,539630,,,St. James,15,21037
Kankakee,13,110024,,0.01%,,Pasquotank County,39639,,,St. John the Baptist,51,43184
Parke,2,16927,,0.01%,,Passaic County,503310,,,St. Johns,532,254261
Cache,15,127068,,0.01%,,Patrick County,17673,,,St. Joseph,90,331814
Flathead,12,102106,,0.01%,,Paulding County,182804,,,St. Landry,21,82764
Pawnee,3,25584,,0.01%,,Pawnee County,25584,,,St. Lawrence,16,108047
Transylvania,4,34215,,0.01%,,Payette County,23551,,,St. Louis,130,302838
Rusk,8,68597,,0.01%,,Payne County,82040,,,St. Louis City,796,302838
Manassas Park,2,17307,,0.01%,,Peach County,27297,,,St. Louis County,2626,1196699
Potter,16,138477,,0.01%,,Pearl River County,55387,,,St. Lucie,309,321128
Carter,16,138824,,0.01%,,Pecos County,15673,,,St. Martin,96,53621
Christian,22,191315,,0.01%,,Pembina County,6947,,,St. Mary,2,49774
Mecosta,5,43545,,0.01%,,Pemiscot County,16272,,,St. Mary's,49,112664
Dawes,1,8716,,0.01%,,Pend Oreille County,13602,,,St. Tammany,124,258111
Kerr,6,52405,,0.01%,,Pender County,62162,,,Stafford,546,154138
Avery,2,17505,,0.01%,,Pendleton County,21526,,,Stanislaus,1322,549815
Clearwater,2,17568,,0.01%,,Pennington County,125907,,,Stanly,10,62075
Pope,9,79309,,0.01%,,Penobscot County,151096,,,Stark,76,407998
Hidalgo,98,870179,,0.01%,,Peoria County,180621,,,Starke,2,22935
Arkansas,2,17769,,0.01%,,Pepin County,7289,,,Starr,6,64525
Palo Alto,1,8929,,0.01%,,Perkins County,5851,,,Staunton,5,24922
Cuming,1,8940,,0.01%,,Perquimans County,13422,,,Staunton City,1,24922
Somervell,1,9016,,0.01%,,Perry County,207177,,,Ste Genevieve,4,#N/A
Norfolk City,27,244076,,0.01%,,Pershing County,6666,,,Stearns,204,159256
Alger,1,9097,,0.01%,,Person County,39507,,,Steele,65,38706
Fentress,2,18217,,0.01%,,Petersburg Borough,3221,,,Stephens,13,78733
Victoria,10,92035,,0.01%,,Petersburg city,31567,,,Stephenson,1,44753
Appling,2,18507,,0.01%,,Petroleum County,513,,,Steuben,47,130382
Nacogdoches,7,65711,,0.01%,,Pettis County,42542,,,Stevens,21,60572
Defiance,4,38165,,0.01%,,Phelps County,53728,,,Stewart,9,19760
Aroostook,7,67111,,0.01%,,Philadelphia County,1584138,,,Stillwater,5,9534
Comanche,14,135704,,0.01%,,Phillips County,31706,,,Stokes,4,45467
Sac,1,9719,,0.01%,,Piatt County,16396,,,Stone,16,62923
Concordia,2,19572,,0.01%,,Pickaway County,58086,,,Storey,33,4029
Person,4,39507,,0.01%,,Pickens County,176855,,,Story,85,98105
Missoula,12,118791,,0.01%,,Pickett County,5082,,,Strafford,115,130090
Frio,2,19816,,0.01%,,Pierce County,964466,,,Stutsman,1,20917
Sedgwick,52,515910,,0.01%,,Pike County,291135,,,Suffolk,3925,91185
McDonough,3,29955,,0.01%,,Pima County,1039073,,,Sullivan,143,309292
Ashley,2,20046,,0.01%,,Pinal County,447138,,,Summers,1,12760
Kemper,1,10027,,0.01%,,Pine County,29483,,,Summit,1279,614858
Metcalfe,1,10030,,0.01%,,Pinellas County,975280,,,Sumner,92,210145
Calumet,5,50159,,0.01%,,Pipestone County,9047,,,Sumter,1148,277690
Atascosa,5,50310,,0.01%,,Piscataquis County,16800,,,Surry,40,78422
Isabella,7,70562,,0.01%,,Pitkin County,17950,,,Susquehanna,48,40589
Caledonia,3,30302,,0.01%,,Pitt County,179914,,,Sussex,217,381322
Marinette,4,40434,,0.01%,,Pittsburg County,43877,,,Sutter,212,96807
Kewaunee,2,20383,,0.01%,,Pittsylvania County,60949,,,Sutton,1,3758
Keokuk,1,10225,,0.01%,,Piute County,1445,,,Suwannee,232,44191
Runnels,1,10234,,0.01%,,Placer County,393149,,,Swain,1,14245
St. Helena,1,10262,,0.01%,,Plaquemines Parish,23410,,,Sweet Grass,1,3710
Grand Traverse,9,92573,,0.01%,,Platte County,144914,,,Sweetwater,24,43051
Dimmit,1,10308,,0.01%,,Pleasants County,7507,,,Swift,6,9345
Wharton,4,41619,,0.01%,,Plumas County,18804,,,Switzerland,2,10717
Bowie,9,94324,,0.01%,,Plymouth County,543227,,,Talbot,30,43240
Tuscola,5,52516,,0.01%,,Pocahontas County,15154,,,Taliaferro,11,1608
Noxubee,1,10535,,0.01%,,Poinsett County,23974,,,Talladega,59,79828
Barnes,1,10542,,0.01%,,Pointe Coupee Parish,21940,,,Tallapoosa,17,40497
Owen,3,31725,,0.01%,,Polk County,1543112,,,Tama,4,16904
Erath,4,42446,,0.01%,,Pondera County,5972,,,Taney,4,55852
Starr,6,64525,,0.01%,,Pontotoc County,70080,,,Tangipahoa,88,133777
Baltimore,56,602495,,0.01%,,Pope County,79309,,,Tarrant,4121,2084931
Twin Falls,8,86081,,0.01%,,Poquoson city,12190,,,Tate,19,28759
Yell,2,21535,,0.01%,,Portage County,233869,,,Tattnall,7,25391
Llano,2,21646,,0.01%,,Porter County,169594,,,Taylor,40,236316
Mahaska,2,22000,,0.01%,,Portsmouth city,94632,,,Tazewell,812,173183
Barren,4,44176,,0.01%,,Posey County,25540,,,Tehama,182,63916
Whiteside,5,55626,,0.01%,,Pottawatomie County,96956,,,Telfair,4,15876
Preston,3,33839,,0.01%,,Pottawattamie County,93533,,,Teller,17,25083
Coahoma,2,22628,,0.01%,,Potter County,138477,,,Terrebonne,84,111021
Nantucket,1,11327,,0.01%,,Powder River County,1716,,,Terrell,10,9434
Stokes,4,45467,,0.01%,,Powell County,19410,,,Teton,10,40883
Muskogee,6,68362,,0.01%,,Power County,7768,,,Texas,1,46026
Bandera,2,22824,,0.01%,,Poweshiek County,18699,,,Thayer,1,5039
Yakima,22,251446,,0.01%,,Powhatan County,29189,,,Thomas,9,52879
Craven,9,102912,,0.01%,,Prairie County,9161,,,Thurston,352,293722
Starke,2,22935,,0.01%,,Pratt County,9378,,,Tift,35,40571
Grady,7,80299,,0.01%,,Preble County,40997,,,Tillamook,306,26787
Grainger,2,23145,,0.01%,,Prentiss County,25315,,,Tioga,22,89323
Silver Bow,3,34993,,0.01%,,Presidio County,6948,,,Tippecanoe,36,193048
Towns,1,11852,,0.01%,,Presque Isle County,12738,,,Tipton,16,76709
Mingo,2,23785,,0.01%,,Preston County,33839,,,Tishomingo,1,19454
Ware,3,35680,,0.01%,,Price County,13397,,,Titus,7,33033
Rains,1,12159,,0.01%,,Prince Edward County,22950,,,Todd,36,47176
Live Oak,1,12166,,0.01%,,Prince George County,38082,,,Tolland,198,150921
Manistee,2,24528,,0.01%,,Prince George's County,909308,,,Tom Green,4,118189
Addison,3,36973,,0.01%,,Prince of Wales-Hyder Census Area,6422,,,Tompkins,20,102793
Little River,1,12326,,0.01%,,Prince William County,468011,,,Tooele,284,69907
Yates,2,24841,,0.01%,,Providence County,636084,,,Toombs,10,26887
Lamoille,2,25300,,0.01%,,Prowers County,12164,,,Torrance,16,15591
Prentiss,2,25315,,0.01%,,Pueblo County,167529,,,Towns,1,11852
Pamlico,1,12670,,0.01%,,Pulaski County,572384,,,Transylvania,4,34215
Morehouse,2,25398,,0.01%,,Pushmataha County,11179,,,Travis,17590,1248743
Summers,1,12760,,0.01%,,Putnam County,412445,,,Treasure,1,679
Chaves,5,64689,,0.01%,,Quay County,8253,,,Trego,3,2793
Des Moines,3,39138,,0.01%,,Queen Anne's County,50251,,,Trempealeau,9,29442
Blaine,3,39369,,0.01%,,Queens County,2278906,,,Treutlen,18,6809
Geneva,2,26314,,0.01%,,Quitman County,9330,,,Trigg,3,14643
Lamb,1,13158,,0.01%,,Rabun County,16867,,,Trinity,91,27275
Oceana,2,26625,,0.01%,,Racine County,196584,,,Troup,93,70034
St. Francois,5,66692,,0.01%,,Radford city,18339,,,Trousdale,3,11012
Perquimans,1,13422,,0.01%,,Rains County,12159,,,Trumbull,54,198627
Gratiot,3,40599,,0.01%,,Raleigh County,74254,,,Tulare,1014,465861
Danville,3,40693,,0.01%,,Ralls County,10212,,,Tulsa,6627,648360
Cascade,6,81643,,0.01%,,Ramsey County,561691,,,Tuolumne,272,54539
McKenzie,1,13632,,0.01%,,Randall County,136271,,,Turner,7,16336
Marquette,6,81950,,0.01%,,Randolph County,301400,,,Tuscaloosa,2161,208911
Menominee,2,27641,,0.01%,,Rankin County,153902,,,Tuscarawas,12,92176
Crenshaw,1,13824,,0.01%,,Ransom County,5237,,,Tuscola,5,52516
Taney,4,55852,,0.01%,,Rapides Parish,130562,,,Twiggs,47,8188
Montrose,3,42214,,0.01%,,Rappahannock County,7252,,,Twin Falls,8,86081
La Plata,4,56310,,0.01%,,Ravalli County,43172,,,Tyler,7,30442
Garland,7,99154,,0.01%,,Rawlins County,2508,,,Uinta,15,20299
Emmet,3,42561,,0.01%,,Ray County,22883,,,Uintah,66,35438
Estill,1,14198,,0.01%,,Reagan County,3741,,,Ulster,219,178599
Swain,1,14245,,0.01%,,Real County,3478,,,Umatilla,599,77516
San Jacinto,2,28719,,0.01%,,Red Lake County,3999,,,Unicoi,14,17761
Menard,1,14427,,0.01%,,Red River County,12175,,,Union,1866,1147306
Leflore,2,28919,,0.01%,,Red River Parish,8477,,,Upshur,2,65675
Fredericksburg City,2,29144,,0.01%,,Red Willow County,10726,,,Upson,15,26215
Gasconade,1,14705,,0.01%,,Redwood County,15249,,,Upton,1,3671
Schuyler,2,29418,,0.01%,,Reeves County,15695,,,Utah,1449,622213
Falls,1,14772,,0.01%,,Refugio County,7032,,,Val Verde,1,49208
Cameron,29,428400,,0.01%,,Reno County,62342,,,Valencia,5,76456
Pitt,12,179914,,0.01%,,Rensselaer County,159442,,,Valley,4,22668
